,title,position,country,genre,original name,year,rating,count,rating_IMBD,position_IMDB,2010-2021,2000-2009,1990-1999,1980-1989,before 1980,delta,main_genre
317,Чтец,318,"Германия, США","драма, мелодрама","Reader, The",2008,7.9,119 591,,,0,1,0,0,0,,драма
318,Не может быть!,319,СССР,"мелодрама, комедия",-,1975,8.1,96 399,,,0,0,0,0,1,,мелодрама
319,Гарри Поттер и Дары Смерти: Часть I,320,"Великобритания, США","фэнтези, приключения",Harry Potter and the Deathly Hallows: Part 1,2010,7.8,340 634,,,1,0,0,0,0,,фэнтези
320,Призрак в доспехах,321,Япония,"аниме, мультфильм",Kokaku kidotai,1995,8.0,47 793,8.0,405.0,0,0,1,0,0,0.0,аниме
321,Человек с бульвара Капуцинов,322,СССР,"комедия, вестерн",-,1987,8.0,88 861,,,0,0,0,1,0,,комедия
322,Анастасия,323,США,"мультфильм, мюзикл",Anastasia,1997,8.1,138 428,,,0,0,1,0,0,,мультфильм
323,Убить Билла,324,"США, Япония","боевик, триллер",Kill Bill: Vol. 1,2003,7.6,209 709,8.1,246.0,0,1,0,0,0,-0.5,боевик
324,Дневник памяти,325,США,"драма, мелодрама","Notebook, The",2004,8.2,302 283,,,0,1,0,0,0,,драма
325,Гарри Поттер и Орден Феникса,326,"Великобритания, США","фэнтези, приключения",Harry Potter and the Order of the Phoenix,2007,7.7,330 232,,,0,1,0,0,0,,фэнтези
326,Джокер,327,"США, Канада","триллер, драма",Joker,2019,8.0,436 975,8.4,58.0,1,0,0,0,0,-0.40000000000000036,триллер
327,Обыкновенное чудо,328,СССР,"мюзикл, фэнтези",-,1978,8.2,78 558,,,0,0,0,0,1,,мюзикл
328,Амадей,329,"США, Франция","драма, биография",Amadeus,1984,8.2,56 617,8.3,111.0,0,0,0,1,0,-0.10000000000000142,драма
329,На игле,330,Великобритания,"драма, криминал",Trainspotting,1995,7.9,148 983,8.1,260.0,0,0,1,0,0,-0.1999999999999993,драма
330,Законопослушный гражданин,331,США,"боевик, триллер",Law Abiding Citizen,2009,8.0,336 220,,,0,1,0,0,0,,боевик
331,Кошмар перед Рождеством,332,США,"мультфильм, мюзикл","Nightmare Before Christmas, The",1993,8.0,94 141,8.0,406.0,0,0,1,0,0,0.0,мультфильм
332,Покровские ворота,333,СССР,"мюзикл, драма",-,1982,8.2,97 182,,,0,0,0,1,0,,мюзикл
333,Город героев,334,"США, Япония","мультфильм, фантастика",Big Hero 6,2014,7.9,192 978,,,1,0,0,0,0,,мультфильм
334,Я – легенда,335,США,"фантастика, боевик",I Am Legend,2007,7.9,335 384,,,0,1,0,0,0,,фантастика
335,Правила съема: Метод Хитча,336,США,"мелодрама, комедия",Hitch,2005,7.7,180 598,,,0,1,0,0,0,,мелодрама
336,Пила: Игра на выживание,337,США,"ужасы, триллер",Saw,2004,7.8,147 720,,,0,1,0,0,0,,ужасы
337,Безумный Макс: Дорога ярости,338,"Австралия, США","боевик, фантастика",Mad Max: Fury Road,2015,7.8,311 293,8.1,225.0,1,0,0,0,0,-0.2999999999999998,боевик
338,Геркулес,339,"США, Франция","мультфильм, мюзикл",Hercules,1997,8.1,75 980,,,0,0,1,0,0,,мультфильм
339,Нечто,340,США,"ужасы, фантастика","Thing, The",1982,7.9,89 854,8.1,280.0,0,0,0,1,0,-0.1999999999999993,ужасы
340,Отпуск по обмену,341,США,"мелодрама, комедия","Holiday, The",2006,7.6,178 759,,,0,1,0,0,0,,мелодрама
341,Уроки фарси,342,"Россия, Германия","драма, военный",Persian Lessons,2020,7.9,37 220,,,1,0,0,0,0,,драма
342,Радио,343,США,"драма, биография",Radio,2003,7.9,16 054,,,0,1,0,0,0,,драма
343,Мост в Терабитию,344,США,"фэнтези, драма",Bridge to Terabithia,2006,7.8,142 800,,,0,1,0,0,0,,фэнтези
344,Земля до начала времен,345,"США, Ирландия","мультфильм, драма","Land Before Time, The",1988,8.0,60 310,,,0,0,0,1,0,,мультфильм
345,Гараж,346,СССР,"драма, комедия",-,1979,8.0,78 129,,,0,0,0,0,1,,драма
346,Убить Билла 2,347,США,"боевик, триллер",Kill Bill: Vol. 2,2004,7.5,161 904,8.0,383.0,0,1,0,0,0,-0.5,боевик
