,position,country,genre,original name,year,rating,count
Богемская рапсодия,268,"Великобритания, США","биография, музыка",Bohemian Rhapsody,2018,8.0,339 671
Жестокий романс,269,СССР,"драма, мелодрама",-,1984,8.1,95 068
Курьер,270,СССР,"драма, мелодрама",-,1986,8.0,102 201
Охота,271,"Дания, Швеция",драма,Jagten,2012,7.9,96 811
Ветер крепчает,272,Япония,"аниме, мультфильм",Kaze tachinu,2013,7.9,57 863
Выживший,273,"США, Гонконг","приключения, вестерн","Revenant, The",2015,7.8,306 306
Как украсть миллион,274,США,"комедия, криминал",How to Steal a Million,1966,8.2,80 620
Огни большого города,275,США,"комедия, мелодрама",City Lights,1931,8.5,54 418
Догвилль,276,"Дания, Нидерланды","триллер, драма",Dogville,2003,7.9,118 887
Собачья жизнь,277,"США, Индия","фэнтези, драма",A Dog's Purpose,2017,7.9,114 868
Заплати другому,278,США,драма,Pay It Forward,2000,8.1,132 276
Хороший год,279,"США, Великобритания","драма, мелодрама",A Good Year,2006,7.7,92 960
Стажёр,280,США,"мелодрама, комедия","Intern, The",2015,7.6,215 250
Невероятная жизнь Уолтера Митти,281,"США, Великобритания","комедия, приключения","Secret Life of Walter Mitty, The",2013,7.7,204 785
Нокдаун,282,США,"драма, мелодрама",Cinderella Man,2005,8.2,123 734
Отец,283,"Великобритания, Франция",драма,"Father, The",2020,7.9,26 110
Королевство полной луны,284,США,"семейный, комедия",Moonrise Kingdom,2012,7.6,133 112
Психо,285,США,"триллер, ужасы",Psycho,1960,8.1,110 659
Планета Ка-Пэкс,286,"Германия, США","фантастика, драма",K-PAX,2001,8.0,166 049
Коралина в Стране Кошмаров,287,США,"мультфильм, фэнтези",Coraline,2008,7.7,131 127
Планета сокровищ,288,США,"мультфильм, фантастика",Treasure Planet,2002,8.1,58 854
Звёздные войны: Эпизод 2 – Атака клонов,289,США,"фантастика, боевик",Star Wars: Episode II - Attack of the Clones,2002,8.0,203 914
Ворошиловский стрелок,290,Россия,"драма, криминал",-,1999,7.8,135 589
В случае убийства набирайте `М`,291,США,"фильм-нуар, триллер",Dial M for Murder,1954,8.1,38 342
12 лет рабства,292,"США, Великобритания","драма, биография",12 Years a Slave,2013,7.7,193 130
Судья,293,США,драма,"Judge, The",2014,7.8,164 049
Бёрдмэн,294,США,"драма, комедия",Birdman or (The Unexpected Virtue of Ignorance),2014,7.6,192 056
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,295,СССР,"криминал, детектив",-,1980,8.4,87 469
Бэтмен: Начало,296,"США, Великобритания","боевик, фантастика",Batman Begins,2005,7.9,261 656
Дитя погоды,297,Япония,"аниме, мультфильм",Tenki no ko,2019,7.9,53 368
Расправь крылья,298,"Франция, Норвегия","драма, семейный",Donne-moi des ailes,2019,8.0,44 494
Цельнометаллическая оболочка,299,"Великобритания, США","драма, военный",Full Metal Jacket,1987,8.0,124 237
Маска,300,США,"комедия, фэнтези","Mask, The",1994,8.0,276 588
Того,301,США,"драма, приключения",Togo,2019,8.0,54 502
Андрей Рублев,302,СССР,"драма, биография",-,1966,8.2,47 640
Человек-паук,303,США,"фантастика, боевик",Spider-Man,2002,7.6,253 332
День выборов,304,Россия,комедия,-,2007,7.8,101 170
Реквием по мечте,305,США,драма,Requiem for a Dream,2000,8.0,283 250
Аватар,306,"США, Великобритания","фантастика, боевик",Avatar,2009,7.9,625 288
Господин Никто,307,"Бельгия, Германия","фантастика, мелодрама",Mr. Nobody,2009,7.9,212 992
Апокалипсис сегодня,308,США,"военный, драма",Apocalypse Now,1979,8.1,102 271
Жизнь Дэвида Гейла,309,"США, Германия","триллер, драма","Life of David Gale, The",2002,8.1,151 442
